period_label,Year,Week,t,avgwaiting_time,baseline_waiting_time_ma12,deviation,flag_percentile_p90,flag_iqr,flag_ma_deviation,flag_robust_zscore_mad,n_methods_flagged,disruption_flag,detection_method
2019-W37,2019.0,37.0,36,8.0,6.0,2.0,False,False,False,False,0,False,robust_zscore_mad
2019-W38,2019.0,38.0,37,8.0,7.0,1.0,False,False,False,False,0,False,robust_zscore_mad
2019-W39,2019.0,39.0,38,8.0,6.0,2.0,False,False,False,False,0,False,robust_zscore_mad
2019-W40,2019.0,40.0,39,8.0,7.0,1.0,False,False,False,False,0,False,robust_zscore_mad
2019-W41,2019.0,41.0,40,7.0,7.0,0.0,False,False,False,False,0,False,robust_zscore_mad
2019-W42,2019.0,42.0,41,7.0,7.0,0.0,False,False,False,False,0,False,robust_zscore_mad
2019-W43,2019.0,43.0,42,7.0,7.0,0.0,False,False,False,False,0,False,robust_zscore_mad
2019-W44,2019.0,44.0,43,7.0,7.0,0.0,False,False,False,False,0,False,robust_zscore_mad
2019-W45,2019.0,45.0,44,9.0,7.0,2.0,False,False,False,False,0,False,robust_zscore_mad
2019-W46,2019.0,46.0,45,8.0,7.0,1.0,False,False,False,False,0,False,robust_zscore_mad
2019-W47,2019.0,47.0,46,8.0,8.0,0.0,False,False,False,False,0,False,robust_zscore_mad
2019-W48,2019.0,48.0,47,8.0,8.0,0.0,False,False,False,False,0,False,robust_zscore_mad
2019-W49,2019.0,49.0,48,6.0,8.0,-2.0,False,False,False,False,0,False,robust_zscore_mad
2019-W50,2019.0,50.0,49,8.0,8.0,0.0,False,False,False,False,0,False,robust_zscore_mad
2019-W51,2019.0,51.0,50,5.0,7.0,-2.0,False,False,False,False,0,False,robust_zscore_mad
2019-W52,2019.0,52.0,51,6.0,7.0,-1.0,False,False,False,False,0,False,robust_zscore_mad
2020-W01,2020.0,1.0,52,18.0,8.0,10.0,False,False,True,False,1,False,robust_zscore_mad
2020-W02,2020.0,2.0,53,10.0,8.0,2.0,False,False,False,False,0,False,robust_zscore_mad
2020-W03,2020.0,3.0,54,11.0,9.0,2.0,False,False,False,False,0,False,robust_zscore_mad
2020-W04,2020.0,4.0,55,7.0,9.0,-2.0,False,False,False,False,0,False,robust_zscore_mad
2020-W05,2020.0,5.0,56,10.0,9.0,1.0,False,False,False,False,0,False,robust_zscore_mad
2020-W06,2020.0,6.0,57,13.0,9.0,4.0,False,False,False,False,0,False,robust_zscore_mad
2020-W07,2020.0,7.0,58,14.0,10.0,4.0,False,False,False,False,0,False,robust_zscore_mad
2020-W08,2020.0,8.0,59,14.0,10.0,4.0,False,False,False,False,0,False,robust_zscore_mad
2020-W09,2020.0,9.0,60,20.0,11.0,9.0,True,False,True,False,2,False,robust_zscore_mad
2020-W10,2020.0,10.0,61,12.0,12.0,0.0,False,False,False,False,0,False,robust_zscore_mad
2020-W11,2020.0,11.0,62,10.0,12.0,-2.0,False,False,False,False,0,False,robust_zscore_mad
2020-W12,2020.0,12.0,63,11.0,13.0,-2.0,False,False,False,False,0,False,robust_zscore_mad
2020-W13,2020.0,13.0,64,18.0,13.0,5.0,False,False,False,False,0,False,robust_zscore_mad
2020-W14,2020.0,14.0,65,16.0,13.0,3.0,False,False,False,False,0,False,robust_zscore_mad
2020-W15,2020.0,15.0,66,13.0,13.0,0.0,False,False,False,False,0,False,robust_zscore_mad
